status,seniority,home,time,age,marital,records,job,expenses,income,assets,debt,amount,price
0,9,rent,60,30,married,no_rec,freelance,73,129.0,0.0,0.0,800,846
0,17,rent,60,58,widow,no_rec,fixed,48,131.0,0.0,0.0,1000,1658
1,10,owner,36,46,married,yes_rec,freelance,90,200.0,3000.0,0.0,2000,2985
0,0,rent,60,24,single,no_rec,fixed,63,182.0,2500.0,0.0,900,1325
0,0,rent,36,26,single,no_rec,fixed,46,107.0,0.0,0.0,310,910
0,1,owner,60,36,married,no_rec,fixed,75,214.0,3500.0,0.0,650,1645
0,29,owner,60,44,married,no_rec,fixed,75,125.0,10000.0,0.0,1600,1800
0,9,parents,12,27,single,no_rec,fixed,35,80.0,0.0,0.0,200,1093
0,0,owner,60,32,married,no_rec,freelance,90,107.0,15000.0,0.0,1200,1957
1,0,parents,48,41,married,no_rec,partime,90,80.0,0.0,0.0,1200,1468
0,6,owner,48,34,married,no_rec,freelance,60,125.0,4000.0,0.0,1150,1577
0,7,owner,36,29,married,no_rec,fixed,60,121.0,3000.0,0.0,650,915
0,8,owner,60,30,married,no_rec,fixed,75,199.0,5000.0,2500.0,1500,1650
0,19,priv,36,37,married,no_rec,fixed,75,170.0,3500.0,260.0,600,940
1,0,0,18,21,single,yes_rec,partime,35,50.0,0.0,0.0,400,500
0,0,owner,24,68,married,no_rec,fixed,75,131.0,4162.0,0.0,900,1186
0,15,priv,24,52,single,no_rec,freelance,35,330.0,16500.0,0.0,1500,2201
0,33,rent,24,68,married,no_rec,freelance,65,200.0,5000.0,2000.0,600,1350
1,0,ignore,48,36,married,no_rec,partime,45,130.0,750.0,0.0,1100,1511
0,1,parents,60,31,single,no_rec,fixed,35,137.0,0.0,0.0,1250,1253
1,2,rent,60,25,single,no_rec,fixed,46,107.0,0.0,0.0,1500,2189
0,5,owner,60,22,single,no_rec,fixed,45,324.0,10000.0,0.0,1100,1159
1,1,owner,60,45,married,no_rec,partime,105,112.0,2000.0,500.0,600,1332
0,27,rent,60,41,married,no_rec,fixed,74,140.0,0.0,0.0,950,1497
0,26,owner,60,51,married,no_rec,fixed,45,143.0,3500.0,0.0,1350,1357
0,12,owner,36,54,married,no_rec,fixed,60,130.0,4000.0,0.0,700,2100
0,19,owner,60,43,single,no_rec,fixed,75,180.0,4000.0,0.0,1000,1070
0,15,owner,36,43,married,no_rec,fixed,75,251.0,4000.0,0.0,1800,2557
1,3,owner,24,23,married,no_rec,fixed,75,85.0,5000.0,0.0,600,1600
1,0,other,48,37,single,no_rec,0,35,0.0,0.0,0.0,1500,1850
0,4,owner,48,29,married,no_rec,fixed,45,150.0,5000.0,3300.0,1100,1312
1,0,owner,36,23,single,no_rec,partime,45,122.0,2500.0,0.0,400,400
0,14,priv,24,51,married,no_rec,partime,75,198.0,1000.0,0.0,450,650
0,10,owner,36,39,married,no_rec,freelance,75,150.0,3000.0,0.0,1000,1394
0,12,parents,36,35,single,no_rec,fixed,35,170.0,0.0,0.0,1100,1542
0,32,owner,24,62,married,no_rec,freelance,45,119.0,8500.0,0.0,700,1200
0,10,owner,24,56,married,no_rec,freelance,45,208.0,13500.0,0.0,500,1560
0,7,owner,48,32,married,no_rec,fixed,75,115.0,3000.0,0.0,800,1200
1,1,rent,54,36,married,no_rec,fixed,70,99.0,0.0,0.0,950,950
0,30,owner,60,64,married,no_rec,fixed,45,120.0,14000.0,0.0,1125,1300
1,5,rent,48,31,single,no_rec,fixed,44,90.0,0.0,0.0,1300,1700
0,24,owner,60,42,married,no_rec,fixed,75,137.0,4000.0,0.0,900,1167
0,0,owner,60,61,widow,no_rec,other,35,230.0,50000.0,0.0,950,1150
1,0,owner,60,32,married,yes_rec,fixed,45,142.0,7000.0,3000.0,1250,1566
1,2,owner,60,43,married,no_rec,partime,75,71.0,3000.0,0.0,1500,1552
0,1,parents,60,26,single,no_rec,partime,35,120.0,0.0,0.0,1150,1300
0,1,owner,60,49,widow,no_rec,freelance,35,233.0,15900.0,4500.0,2100,2104
0,15,owner,36,47,married,no_rec,fixed,75,289.0,3500.0,0.0,1500,2154
1,2,rent,36,27,separated,no_rec,fixed,48,128.0,0.0,0.0,450,545
0,25,owner,36,52,married,no_rec,freelance,60,150.0,15000.0,0.0,750,1778
0,8,owner,60,28,married,no_rec,fixed,60,145.0,4000.0,1000.0,1600,1718
0,5,owner,60,31,married,no_rec,fixed,75,90.0,4000.0,0.0,900,1500
0,0,rent,60,32,married,no_rec,fixed,105,301.0,0.0,0.0,1200,1274
0,5,owner,36,51,married,no_rec,freelance,75,200.0,2100.0,1200.0,900,1015
0,3,parents,12,37,married,no_rec,freelance,60,150.0,500.0,0.0,500,1701
1,1,rent,48,29,married,yes_rec,freelance,85,100.0,0.0,0.0,1000,1345
0,7,parents,60,26,single,no_rec,fixed,35,100.0,0.0,0.0,1000,1238
0,4,parents,30,27,single,no_rec,fixed,45,100.0,5000.0,0.0,500,1048
0,6,owner,24,63,married,no_rec,fixed,60,155.0,4000.0,0.0,600,1048
0,14,owner,24,55,married,no_rec,fixed,90,715.0,5000.0,0.0,800,1324
0,3,rent,60,28,married,no_rec,fixed,70,245.0,0.0,0.0,1830,2201
0,8,rent,48,31,married,no_rec,fixed,90,150.0,0.0,0.0,1100,1430
1,4,parents,42,27,single,no_rec,fixed,35,70.0,0.0,0.0,600,926
0,22,owner,24,40,married,no_rec,fixed,75,190.0,3000.0,0.0,1000,1500
0,2,owner,36,35,married,no_rec,fixed,75,152.0,3000.0,0.0,1000,1542
0,15,priv,60,43,married,no_rec,fixed,75,126.0,3000.0,0.0,1350,1360
0,10,owner,18,34,married,no_rec,freelance,75,181.0,4000.0,0.0,600,1000
0,4,owner,60,37,married,no_rec,fixed,60,185.0,3000.0,0.0,1200,1564
0,9,owner,60,53,married,no_rec,fixed,45,170.0,2500.0,0.0,850,1205
0,22,rent,60,46,married,no_rec,fixed,93,176.0,7500.0,0.0,2000,2200
0,18,parents,36,36,married,no_rec,freelance,60,238.0,0.0,0.0,900,2214
0,1,priv,60,46,married,no_rec,fixed,60,115.0,5500.0,800.0,1000,1137
0,14,owner,48,43,married,no_rec,fixed,45,200.0,9000.0,0.0,600,1025
0,8,owner,36,31,married,yes_rec,freelance,75,411.0,9000.0,4000.0,800,1593
0,5,owner,24,43,married,no_rec,fixed,75,93.0,3000.0,0.0,700,1735
0,19,rent,60,38,married,no_rec,fixed,86,108.0,0.0,0.0,1000,1132
0,14,owner,12,37,married,no_rec,freelance,90,500.0,4000.0,0.0,500,1338
0,0,0,36,46,married,yes_rec,other,45,45.0,0.0,0.0,900,1100
0,9,rent,36,55,married,no_rec,fixed,70,250.0,30000.0,0.0,1750,2276
0,29,owner,48,56,married,no_rec,fixed,45,100.0,3000.0,0.0,900,1360
0,10,owner,36,55,married,no_rec,fixed,60,70.0,4000.0,0.0,1000,1436
0,10,parents,36,52,married,no_rec,fixed,60,150.0,0.0,0.0,550,612
1,1,owner,36,29,married,no_rec,fixed,60,70.0,4500.0,0.0,850,1100
0,11,owner,60,39,divorced,yes_rec,fixed,35,263.0,2500.0,0.0,1000,1300
0,10,owner,60,38,married,no_rec,freelance,75,200.0,9000.0,0.0,1000,2089
0,5,owner,24,24,single,no_rec,fixed,35,78.0,6000.0,3000.0,500,2262
0,10,rent,60,28,single,no_rec,fixed,47,120.0,0.0,0.0,600,1054
0,27,owner,60,53,married,no_rec,fixed,60,125.0,10000.0,0.0,1426,1426
1,0,rent,60,25,single,no_rec,partime,40,50.0,0.0,0.0,1040,1048
1,25,rent,60,62,married,no_rec,fixed,60,146.0,0.0,0.0,1000,1292
0,3,parents,60,29,single,no_rec,fixed,35,70.0,0.0,0.0,950,1177
1,9,parents,60,32,single,yes_rec,fixed,35,105.0,0.0,0.0,1490,1490
0,4,rent,36,21,married,no_rec,freelance,101,413.0,6000.0,0.0,750,850
0,6,rent,36,38,married,no_rec,freelance,95,500.0,25000.0,21400.0,800,1011
0,9,rent,48,56,married,no_rec,freelance,140,350.0,0.0,0.0,1400,1571
0,3,owner,36,41,married,no_rec,freelance,75,200.0,3000.0,0.0,1000,1000
1,22,0,36,46,married,no_rec,fixed,45,138.0,0.0,0.0,250,270
0,3,owner,60,54,widow,no_rec,other,35,80.0,4000.0,0.0,950,1382
0,30,owner,36,51,married,no_rec,freelance,120,208.0,15000.0,0.0,1500,1713
0,8,rent,60,52,married,no_rec,fixed,89,137.0,4000.0,0.0,800,1086
0,38,owner,48,57,married,no_rec,freelance,45,58.0,12000.0,0.0,1500,3262
0,2,rent,60,33,married,no_rec,fixed,73,130.0,0.0,0.0,1100,1610
0,4,owner,60,33,married,no_rec,fixed,75,123.0,6000.0,1000.0,600,1030
1,0,rent,36,29,married,no_rec,partime,78,180.0,0.0,0.0,650,650
1,2,0,48,23,single,no_rec,fixed,35,140.0,0.0,0.0,1950,2175
0,8,owner,24,33,married,no_rec,fixed,75,315.0,4500.0,0.0,400,1780
1,1,rent,36,24,married,no_rec,partime,76,164.0,0.0,0.0,900,950
1,6,parents,60,28,married,no_rec,freelance,90,325.0,7000.0,0.0,1200,1211
0,5,owner,60,27,married,no_rec,fixed,45,135.0,5000.0,1400.0,1600,1650
1,13,parents,36,33,single,no_rec,fixed,35,109.0,0.0,0.0,350,350
0,11,rent,60,32,married,no_rec,fixed,79,185.0,0.0,0.0,950,1117
0,10,owner,24,39,married,no_rec,fixed,45,217.0,9000.0,3000.0,1500,2468
1,20,owner,60,51,married,no_rec,freelance,90,300.0,12500.0,2500.0,1340,1740
1,0,owner,36,39,single,no_rec,freelance,35,0.0,4000.0,0.0,1000,1210
0,13,owner,48,29,married,no_rec,fixed,60,253.0,3000.0,0.0,670,963
1,2,owner,36,32,married,no_rec,fixed,75,101.0,1500.0,400.0,1200,1646
1,3,owner,36,40,married,yes_rec,freelance,35,200.0,10000.0,0.0,800,800
0,12,owner,36,47,married,no_rec,fixed,75,124.0,3500.0,0.0,460,470
0,20,owner,24,66,married,no_rec,fixed,45,143.0,10000.0,0.0,950,1370
0,3,priv,48,39,separated,no_rec,freelance,35,250.0,4000.0,1500.0,700,839
0,27,owner,60,50,married,no_rec,fixed,75,135.0,5500.0,1000.0,600,1346
0,4,rent,60,25,married,no_rec,fixed,57,115.0,0.0,0.0,900,1350
1,1,owner,60,27,married,no_rec,partime,75,160.0,4000.0,3000.0,1800,2100
0,18,rent,60,54,married,no_rec,fixed,66,214.0,0.0,0.0,1300,1307
0,12,rent,60,42,married,no_rec,fixed,114,390.0,0.0,0.0,1100,1126
0,12,owner,48,35,separated,no_rec,freelance,45,500.0,200000.0,0.0,2380,4786
1,0,parents,60,23,single,no_rec,partime,35,95.0,0.0,0.0,1400,1478
0,12,owner,60,52,married,no_rec,fixed,75,200.0,12000.0,0.0,1550,1568
0,0,parents,24,22,single,no_rec,partime,35,85.0,0.0,0.0,650,1056
0,10,0,18,48,married,no_rec,fixed,90,214.0,0.0,0.0,1000,1608
0,2,owner,60,25,married,no_rec,fixed,75,140.0,3000.0,0.0,950,1179
1,10,0,60,26,married,no_rec,fixed,45,60.0,0.0,0.0,1400,1524
0,8,owner,60,28,married,no_rec,fixed,75,180.0,4000.0,0.0,1300,1730
0,20,owner,30,62,married,no_rec,freelance,60,300.0,24000.0,9000.0,600,823
0,0,rent,60,33,married,no_rec,freelance,65,200.0,0.0,0.0,700,800
0,16,parents,60,41,married,no_rec,fixed,75,242.0,0.0,0.0,1300,1482
0,4,owner,60,29,married,no_rec,partime,60,155.0,5000.0,2500.0,900,1110
1,1,rent,60,37,single,no_rec,fixed,45,100.0,0.0,0.0,1150,1555
0,0,owner,60,31,married,no_rec,fixed,60,105.0,3500.0,0.0,1100,1170
0,15,owner,12,50,married,no_rec,freelance,45,166.0,2000.0,0.0,500,886
1,13,rent,60,42,separated,yes_rec,fixed,47,120.0,0.0,0.0,800,1395
0,19,owner,36,33,married,no_rec,fixed,60,115.0,6700.0,2000.0,1000,2084
0,15,owner,24,54,married,no_rec,freelance,90,350.0,150000.0,0.0,3800,8800
0,40,owner,36,58,married,no_rec,freelance,75,0.0,50000.0,0.0,1000,1160
0,9,rent,60,40,married,no_rec,fixed,119,442.0,6000.0,1947.0,900,1211
1,12,parents,60,31,separated,yes_rec,fixed,35,101.0,0.0,0.0,1300,1300
1,0,owner,36,35,married,yes_rec,fixed,105,122.0,5200.0,2000.0,850,850
0,14,owner,60,64,married,no_rec,freelance,60,250.0,10000.0,0.0,700,1204
0,10,parents,24,29,single,no_rec,freelance,35,90.0,0.0,0.0,600,1528
0,2,owner,48,33,married,no_rec,fixed,45,160.0,6000.0,0.0,1200,1298
0,15,owner,18,35,married,no_rec,freelance,60,300.0,4000.0,0.0,300,600
1,1,parents,48,28,single,no_rec,fixed,35,83.0,0.0,0.0,1000,1320
0,27,owner,60,59,married,no_rec,freelance,45,0.0,11000.0,0.0,1100,1300
1,0,0,60,25,married,no_rec,partime,60,60.0,0.0,0.0,1300,1380
1,0,parents,60,23,single,no_rec,partime,35,205.0,0.0,0.0,1400,1426
